Round,Pick,Opponent,Venue,P_win_model,logP,cum_logP,cum_survival_proxy
18,Liverpool,Wolves,H,0.8838024461209929,-0.12352171855794847,-0.12352171855794847,0.8838024461209929
19,Man Utd,Wolves,H,0.7298131177034156,-0.3149667807601053,-0.4384884993180538,0.6450106186374668
20,Brighton,Burnley,H,0.8331521557462866,-0.18253899353606579,-0.6210274928541195,0.5373919873970515
21,Newcastle,Leeds,H,0.7815066520533878,-0.2465316172523049,-0.8675591101064244,0.4199754129109861
22,Chelsea,Brentford,H,0.7091743774005067,-0.3436538343116419,-1.2112129444180664,0.29783580197466925
23,Man City,Wolves,H,0.9087833784462799,-0.09564852074425811,-1.3068614651623245,0.2706682263407971
24,Sunderland,Burnley,H,0.8066186105433775,-0.21490432398065526,-1.5217657891429797,0.2183260286492542
25,Arsenal,Sunderland,H,0.8037551646568009,-0.2184605777504228,-1.7402263668934024,0.17548067310584675
26,Nott'm Forest,Wolves,H,0.7544976778546371,-0.28170307850642223,-2.0219294453998247,0.13239976036673
27,Crystal Palace,Wolves,H,0.818082463824873,-0.20079213593868028,-2.222721581338505,0.10831392217063729
28,Aston Villa,Wolves,A,0.7772564077577397,-0.2519849859373534,-2.474706567275858,0.08418769005650095
29,Everton,Burnley,H,0.811682845412712,-0.2086455995855434,-2.6833521668614013,0.06833370381378419
30,Brentford,Wolves,H,0.7655792804312245,-0.2671225023872134,-2.9504746692486146,0.05231486779495732
31,Fulham,Burnley,H,0.7786914473738008,-0.25014039967024737,-3.2006150689188617,0.04073714012242437
32,West Ham,Wolves,H,0.6885300458595917,-0.3731963221728811,-3.573811391091743,0.028048744956681453
33,Leeds,Wolves,H,0.6389007232159583,-0.4480061994039711,-4.021817590495714,0.017920363438123744
34,Bournemouth,Leeds,H,0.7288029574839435,-0.3163518750260389,-4.338169465521753,0.01306041387289171
35,Burnley,Leeds,A,0.325661063601673,-1.1218981206633318,-5.460067586185085,0.004253268272923961
36,Spurs,Leeds,H,0.6831890155309849,-0.3809837146068988,-5.8410513007919835,0.002905786164168094
37,Wolves,Fulham,H,0.3989116624933343,-0.9190152838640786,-6.760066584656062,0.001159151989598423
